province,fueldep_mean,fueldep_sd,fueldep_min,fueldep_max
Yazd,0.46802461782966787,0.04251451590566463,0.3890863618357742,0.5327799449186359
Bushehr,0.3930032536790517,0.09774931395577394,0.21987227098140863,0.5231630556345409
Kerman,0.36228670622614695,0.1045790363635766,0.2153007674482112,0.5417497315090857
Hormozgan,0.32877587356641397,0.10581071468522582,0.13443915218190292,0.44705717414136537
South Khorasan,0.29283640200147426,0.04797474644233271,0.2090618907811859,0.3678827785700783
Qom,0.29135640244981553,0.06371456000487985,0.17952130358115814,0.3921721258272341
Fars,0.2881321590328967,0.07697999838910188,0.17017282676174345,0.3998858789130941
Isfahan,0.2816498586576853,0.049445547984493146,0.19625004290872597,0.3497154123848886
Sistan and Baluchestan,0.26128971936043366,0.061096493625826774,0.1789705930115806,0.3596854144380384
Razavi Khorasan,0.24368702529994002,0.0411464131637345,0.17630215066102517,0.32140070867094755
Semnan,0.22781541790159882,0.06578430186231876,0.1334279888028936,0.34077414985226334
Khuzestan,0.22520730275604875,0.040891555132701,0.1557177202544304,0.3052492356184023
Tehran,0.22029737594718118,0.05708448455346655,0.12037726982260186,0.31479476891419345
Markazi,0.21182220762443243,0.041866031100343135,0.1467227383757874,0.27483405728780225
North Khorasan,0.2080839519863454,0.07350818708161326,0.12092802486288444,0.39143822222257113
West Azerbaijan,0.20619580382345046,0.055243611578030566,0.09369324790400516,0.28310746078265514
Gilan,0.1982352191808446,0.0421052973344399,0.12581070894493349,0.25283431974068843
Golestan,0.19464429133813893,0.03920348517409227,0.13206804219928706,0.25092257712757216
Hamedan,0.19375483838834148,0.059922321447824334,0.10294984818378732,0.27512535749878186
Qazvin,0.18824326877335903,0.05210410989256904,0.10815117428994518,0.25214764337112217
Mazandaran,0.18295802072660747,0.054081353130793805,0.09518431453224736,0.2657001064513338
Chaharmahal and Bakhtiari,0.18010477615276468,0.05584044303342823,0.10327677551228163,0.2816056813815872
Zanjan,0.1764361513577,0.024886007645460867,0.12150790076022124,0.2053217956558565
Ilam,0.17490010041054418,0.06123365286509633,0.07915852056581443,0.2773925903751022
East Azerbaijan,0.17238541851113476,0.04717973124504259,0.08666069005067896,0.27494108587321564
Kurdistan,0.14459447219196397,0.04848532112872091,0.08510028772039199,0.22941410617583827
Kermanshah,0.14389029742942264,0.04547678263728498,0.08169051774792827,0.2161597595444824
Ardabil,0.1417979805768669,0.04556864636362544,0.07379579693527537,0.2085733792692515
Kohgiluyeh and Boyer-Ahmad,0.13477829799807522,0.023038222136034073,0.09045389218500222,0.1717571978754626
Lorestan,0.12062268251324826,0.0463460014931639,0.04529778340240711,0.2105648214745272
