province_left_out,coef,se
Ardabil,-0.9122784840690907,0.30959198012839245
Bushehr,-0.9525409652819514,0.29261242057253495
Chaharmahal and Bakhtiari,-0.9129913755310793,0.3147617639195553
East Azerbaijan,-0.8987097324594466,0.30772478579699114
Fars,-0.9399878920403101,0.30447109008035017
Gilan,-0.8982781962400219,0.30764086406716756
Golestan,-0.8905247049528419,0.3054644206515317
Hamedan,-0.8877867768313509,0.31315937180428915
Hormozgan,-0.9471255960823142,0.2967385576254624
Ilam,-0.9246556777495433,0.3075425460153946
Isfahan,-0.9195673560275058,0.30066184091076037
Kerman,-0.9829476498558872,0.3218576308894042
Kermanshah,-0.9352693350272445,0.3055660807399631
Khuzestan,-0.9100757682167762,0.3041752967123707
Kohgiluyeh and Boyer-Ahmad,-0.9166030293974861,0.30503614396781453
Kurdistan,-0.9384530945521471,0.30362703191664037
Lorestan,-0.9325509347228332,0.30196659720105595
Markazi,-0.8932464708957442,0.3057717037596188
Mazandaran,-0.8997808788624853,0.30826164225261043
North Khorasan,-0.9482349592192234,0.3021539925884204
Qazvin,-0.9029688141445624,0.30968282078650095
Qom,-0.9553512722967467,0.29467382596313313
Razavi Khorasan,-0.8987149320074597,0.298200984117319
Semnan,-0.9085225499153092,0.30469686887184555
Sistan and Baluchestan,-0.9183374713712846,0.30503083177081963
South Khorasan,-0.8538248311106478,0.28606337737487936
Tehran,-0.8926419772331387,0.31349445607077003
West Azerbaijan,-0.892905704393788,0.3080602663283562
Yazd,-1.0723464300765442,0.337687085242148
Zanjan,-0.9054620138509404,0.3075876855090435
