year,bmgap_mean,price_mean
2005,-0.5103847214916667,0.1086587279
2006,-0.5804653198,0.10359504801666666
2007,-0.613492718775,0.112414132675
2008,-0.7280678092166667,0.12045392724166668
2009,-0.4656092525916667,0.11308614450833333
2010,-0.6073836581333333,0.107776635025
2011,-0.4980522138416667,0.40972839814166667
2012,-0.5760277395666666,0.34986328905
2013,-0.622284281575,0.25614339525
2014,-0.5800134479,0.236383874125
2015,-0.22850823534166667,0.30016515810833333
2016,-0.1428229618375,0.31852955525
2017,-0.224409508275,0.2909458026
2018,-0.3421429880833333,0.23129672819166666
2019,-0.27075149958333333,0.250071527925
2020,-0.04716545987166667,0.32962351045
2021,-0.2610088426416667,0.31574702968333335
2022,-0.4466566427,0.29166815744999997
